StationID,SampleID,Date,HYL11,HYL2,HYL21,HYL2B,HYL31,HYL4,HYL52,HYL71,HYL8,HYL9,L11K2,L2K2,L21K2,L2BK2,L31K2,L4K2,L52K2,L71K2,L8K2,L9K2,Bird,Dog,Horse,Animal,Pig,Ruminant,Human,Nonhuman,Prep0_mm,Prep1_mm,Prep2_mm,Temp0_c,Temp1_c,Temp2_c,Elv,Flowacc,Season2,DateID,Label
28,59,12/3/2012,0.0225,0.1527,0.1459,0.0068,0.0004,0.696,0.0548,0.0476,0.0181,0.0079,0.0225,0.1527,0.1459,0.0068,0.0004,0.696,0.0548,0.0476,0.0181,0.0079,0.01,0.01,0.01,0.02,0,0,0.01,0.03,6.1,58.93,44.2,10.61,14.28,13.72,49,1.8,2,15,0
28,60,3/6/2013,0.0225,0.1527,0.1459,0.0068,0.0004,0.696,0.0548,0.0476,0.0181,0.0079,0.0225,0.1527,0.1459,0.0068,0.0004,0.696,0.0548,0.0476,0.0181,0.0079,0.01,0,0,0,0,0,0.02,0.01,29.46,0,0,7.94,8.39,13.06,49,1.8,2,17,1
28,61,3/20/2013,0.0225,0.1527,0.1459,0.0068,0.0004,0.696,0.0548,0.0476,0.0181,0.0079,0.0225,0.1527,0.1459,0.0068,0.0004,0.696,0.0548,0.0476,0.0181,0.0079,0,0,0,0,0,0,0.11,0,13.72,0,0,11,12.06,12.5,49,1.8,2,18,1
28,62,4/4/2013,0.0225,0.1527,0.1459,0.0068,0.0004,0.696,0.0548,0.0476,0.0181,0.0079,0.0225,0.1527,0.1459,0.0068,0.0004,0.696,0.0548,0.0476,0.0181,0.0079,0,0,0,0,0,0,0.07,0,23.11,0,0,15.94,13.83,12.89,49,1.8,2,19,1
29,63,8/16/2011,0.0078,0.0858,0.0827,0.0031,0,0.7611,0.0462,0.0587,0.03,0.0104,0.0197,0.1275,0.1219,0.0056,0.0004,0.7219,0.0563,0.0461,0.0193,0.0088,0.01,0,0,0,0,0,0.01,0.01,0,0,0,19.17,19.28,19.22,21,248044.61,1,1,0
29,64,10/6/2011,0.0078,0.0858,0.0827,0.0031,0,0.7611,0.0462,0.0587,0.03,0.0104,0.0197,0.1275,0.1219,0.0056,0.0004,0.7219,0.0563,0.0461,0.0193,0.0088,0.01,0,0.01,0.05,0,0.04,0.05,0.06,5.08,30.99,20.57,12.67,14.39,13.67,21,248044.61,2,9,0
30,65,12/9/2011,0,0.0186,0.0184,0.0002,0,0.7964,0.1571,0.0278,0,0,0,0.0368,0.0351,0.0017,0,0.5376,0.2992,0.1261,0,0.0003,0,0,0,0,0,0,0.01,0,0,0,0,8.78,8.5,8.67,243,1788.37,1,10,1
30,66,1/21/2012,0,0.0186,0.0184,0.0002,0,0.7964,0.1571,0.0278,0,0,0,0.0368,0.0351,0.0017,0,0.5376,0.2992,0.1261,0,0.0003,0.01,0,0,0.01,0,0.01,0.01,0.02,86.61,18.54,0,10.67,6.89,6.11,243,1788.37,2,12,0
31,67,12/9/2011,0,0.0033,0.0033,0,0,0.9562,0.0286,0.012,0,0,0,0.0136,0.0135,0.0001,0,0.9269,0.0455,0.014,0,0,0,0,0,0,0,0,0.03,0,0,0,0,8.56,8.39,8.33,166,822.8,1,10,1
31,68,1/20/2012,0,0.0033,0.0033,0,0,0.9562,0.0286,0.012,0,0,0,0.0136,0.0135,0.0001,0,0.9269,0.0455,0.014,0,0,0.01,0,0.02,0.02,0,0,0.01,0.03,39.62,2.03,0,7.17,6.11,4.56,166,822.8,2,11,0
32,69,1/21/2012,0,0.198,0.0838,0.1142,0,0.0665,0.12,0.4892,0.1264,0,0.0472,0.23,0.0747,0.1553,0.0106,0.0248,0.0604,0.2038,0.4168,0.0063,0,0,0,0.01,0,0.01,0,0.01,77.22,28.19,0.76,11.22,7.72,6.22,29,3.48,2,12,0
32,70,3/5/2012,0,0.198,0.0838,0.1142,0,0.0665,0.12,0.4892,0.1264,0,0.0472,0.23,0.0747,0.1553,0.0106,0.0248,0.0604,0.2038,0.4168,0.0063,0,0,0.01,0.01,0,0,0.41,0.01,0,0,0,14.33,13.06,11.17,29,3.48,1,14,1
33,71,8/16/2011,0.0145,0.0848,0.0538,0.031,0.007,0.3493,0.2261,0.211,0.1035,0.0037,0.0106,0.4477,0.1176,0.3301,0.0072,0.0412,0.0473,0.1183,0.3245,0.0032,0.01,0,0,0,0,0,0.02,0.01,0,0,0,19.72,20.06,19.94,20,7.42,1,1,1
33,72,10/6/2011,0.0145,0.0848,0.0538,0.031,0.007,0.3493,0.2261,0.211,0.1035,0.0037,0.0106,0.4477,0.1176,0.3301,0.0072,0.0412,0.0473,0.1183,0.3245,0.0032,0.01,0,0,0,0,0,0.01,0.01,6.35,29.46,19.56,12.5,14.33,13.56,20,7.42,2,9,0
34,73,12/9/2011,0.003,0.4398,0.1449,0.2949,0.0008,0.1049,0.0943,0.233,0.1228,0.0014,0.0036,0.5298,0.1303,0.3995,0.0026,0.0584,0.0357,0.0792,0.2887,0.002,0,0,0,0,0,0,0.01,0,0,0,0,8.17,7.89,8,30,524.02,1,10,1
34,74,1/20/2012,0.003,0.4398,0.1449,0.2949,0.0008,0.1049,0.0943,0.233,0.1228,0.0014,0.0036,0.5298,0.1303,0.3995,0.0026,0.0584,0.0357,0.0792,0.2887,0.002,0,0.01,0,0.01,0,0,0.02,0.01,28.96,1.02,0,7.89,6.11,3.78,30,524.02,2,11,1
35,75,3/6/2013,0.014,0.064,0.0465,0.0175,0.0065,0.3632,0.2329,0.2136,0.1021,0.0038,0.0256,0.3132,0.1703,0.1429,0.0129,0.2972,0.1121,0.1526,0.0855,0.0009,0.01,0.01,0,0.01,0,0,0.01,0.02,26.92,0,0,7.56,8.56,12.89,38,38808.41,2,17,0
35,76,3/20/2013,0.014,0.064,0.0465,0.0175,0.0065,0.3632,0.2329,0.2136,0.1021,0.0038,0.0256,0.3132,0.1703,0.1429,0.0129,0.2972,0.1121,0.1526,0.0855,0.0009,0.01,0,0,0,0,0,0.01,0.01,10.16,0,0,10.83,12.83,12.89,38,38808.41,2,18,0
36,77,8/16/2011,0.0136,0.0602,0.0431,0.0171,0.0066,0.3606,0.2349,0.216,0.1042,0.0039,0.0291,0.1706,0.1214,0.0492,0.0126,0.3881,0.1357,0.1956,0.0663,0.002,0,0,0,0,0,0,0.01,0,0,0,0,20,20.17,20.22,30,127733.69,1,1,1
36,78,10/6/2011,0.0136,0.0602,0.0431,0.0171,0.0066,0.3606,0.2349,0.216,0.1042,0.0039,0.0291,0.1706,0.1214,0.0492,0.0126,0.3881,0.1357,0.1956,0.0663,0.002,0.01,0,0,0,0,0,0.01,0.01,6.6,28.7,19.3,12.28,13.89,13.56,30,127733.69,2,9,0
37,79,3/20/2013,0.0128,0.057,0.0388,0.0182,0.007,0.3384,0.2473,0.2213,0.1121,0.0041,0.0359,0.339,0.1876,0.1514,0.0194,0.2629,0.1322,0.129,0.0794,0.0022,0,0.02,0.01,0.04,0,0.01,0.05,0.04,10.16,0,0,10.83,12.83,12.89,67,12.99,2,18,1
37,80,4/4/2013,0.0128,0.057,0.0388,0.0182,0.007,0.3384,0.2473,0.2213,0.1121,0.0041,0.0359,0.339,0.1876,0.1514,0.0194,0.2629,0.1322,0.129,0.0794,0.0022,0.01,0,0,0,0,0,0.01,0.01,16.76,0,1.02,15.67,13.67,12.83,67,12.99,2,19,0
